"index","ncaa_name","espn_name","primary_color","secondary_color","tertiary_color","color_4","color_5","color_6","logo_url","color_3","conference"
"173","Mississippi St.","Miss St","#660000","#FFFFFF","#CCCCCC","#75787B",NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Mississippi_State_Bulldogs_logo.svg/320px-Mississippi_State_Bulldogs_logo.svg.png",NA,"SEC"
"174","Mississippi Val.","Miss Valley St","#046A38","#FFFFFF",NA,NA,NA,NA,"https://i.imgur.com/TOQFibH.jpg",NA,"SWAC"
"175","Missouri","Missouri","#000000","#F1B82D",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Missouri_Tigers_logo.svg/320px-Missouri_Tigers_logo.svg.png",NA,"SEC"
"176","Missouri St.","Missouri State","#5E0009","#000000",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/4/4e/Missouri_State_Athletics_logo.svg/274px-Missouri_State_Athletics_logo.svg.png",NA,"MVC"
"177","Monmouth","Monmouth","#041E42","#53565A",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Monmouth_Hawks.svg/309px-Monmouth_Hawks.svg.png",NA,"CAA"
"178","Montana","Montana","#999999","#999999",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Montana_Griz_logo.svg/320px-Montana_Griz_logo.svg.png",NA,"Big Sky"
"179","Montana St.","Montana State","#B9975B","#B9975B",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Montana_State_Bobcats_logo.svg/320px-Montana_State_Bobcats_logo.svg.png",NA,"Big Sky"
"180","Morehead St.","Morehead State","#005EB8","#FFCF00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/1/12/Morehead_State_Eagles_logo.svg/243px-Morehead_State_Eagles_logo.svg.png",NA,"OVC"
"181","Morgan St.","Morgan State","#002D74","#FF4E00",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/8/8f/Morgan_State_Bears_logo.svg/320px-Morgan_State_Bears_logo.svg.png",NA,"MEAC"
"182","Mount St. Mary's","Mt St Mary's","#002F6C","#FFFFFF",NA,NA,NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Mount_St._Mary%27s_Mountaineers_logo.svg/320px-Mount_St._Mary%27s_Mountaineers_logo.svg.png",NA,"MAAC"
